,School,Rank,Time_String,Time_Seconds,Date,Street_Address,City,State,Zip
0,Broomfield,1,04:11.99,251.99,5/11/2018,1 Eagle Way,Broomfield,CO,80020
1,Niwot,2,04:12.01,252.01,5/11/2018,8989 E Niwot Rd,Niwot,CO,80503
2,Valor Christian,3,04:12.75,252.75,4/7/2018,3775 E. Grace Boulevard,Highlands Ranch,CO,80126
3,Mountain Vista,4,04:12.91,252.91,4/7/2018,10585 Mountain Vista Ridge,Highlands Ranch,CO,80126
4,Highland,5,04:14.77,254.77,4/5/2018,4301 E Guadalupe Rd,Gilbert,AZ,85234
5,Silver Creek,6,04:15.21,255.21,5/11/2018,4901 Nelson Rd,Longmont,CO,80503
6,Legend,7,04:15.34,255.34,5/5/2018,22219 Hilltop Rd,Parker,CO,80138
7,Boulder Creek,8,04:15.45,255.45,4/16/2018,40404 N Gavilan Peak Pkwy,Anthem,AZ,85086
8,Desert Vista,9,04:16.19,256.19,4/6/2018,16440 S 32Nd St,Phoenix,AZ,85048
9,Soroco,10,04:17.23,257.23,5/11/2018,305 South Grant Street,Oak Creek,CO,80467
10,Desert Vista,11,04:17.27,257.27,4/6/2018,16440 S 32Nd St,Phoenix,AZ,85048
11,Wheat Ridge,12,04:18.59,258.59,5/5/2018,9505 W 32Nd Ave,Wheat Ridge,CO,80033
12,Rock Canyon,13,04:18.67,258.67,5/19/2018,5810 Mcarthur Ranch Rd,Highlands Ranch,CO,80124
13,Mountain Vista,14,04:18.90,258.9,5/5/2018,10585 Mountain Vista Ridge,Highlands Ranch,CO,80126
14,Chatfield,15,04:19.92,259.92,5/10/2018,7227 S Simms St,Littleton,CO,80127
15,Denver East,16,04:20.01,260.01,5/12/2018,1600 City Park Esplanade,Denver,CO,80206
16,Rock Canyon,17,04:20.10,260.1,5/19/2018,5810 Mcarthur Ranch Rd,Highlands Ranch,CO,80124
17,Desert Vista,18,04:20.41,260.41,4/5/2018,16440 S 32Nd St,Phoenix,AZ,85048
18,Arvada West,19,04:20.46,260.46,5/10/2018,11325 Allendale Dr,Arvada,CO,80004
19,Air Academy,20,04:20.53,260.53,4/7/2018,6910 Carlton Dr,US Air Force Academy,CO,80840
20,Douglas County,21,04:20.91,260.91,5/12/2018,2842 Front St,Castle Rock,CO,80104
21,Dakota Ridge,22,04:21.01,261.01,4/28/2018,13399 W Coal Mine Ave,Littleton,CO,80127
22,Rampart,23,04:21.06,261.06,5/4/2018,8250 Lexington Dr,Colorado Springs,CO,80920
23,Fort Collins,24,04:21.16,261.16,5/10/2018,3400 Lambkin Wy,Fort Collins,CO,80525
24,Dakota Ridge,25,04:21.27,261.27,5/10/2018,13399 W Coal Mine Ave,Littleton,CO,80127
25,Desert Edge,26,04:21.33,261.33,4/5/2018,15778 W Yuma Rd,Goodyear,AZ,85338
26,Centennial,27,04:21.74,261.74,4/5/2018,14388 N 79Th Ave,Peoria,AZ,85381
27,Campo Verde,28,04:21.85,261.85,4/6/2018,3870 S Quartz St,Gilbert,AZ,85297
28,Cibola,29,04:21.86,261.86,4/14/2018,4100 W 20Th St,Yuma,AZ,85364
29,Fishers,30,04:21.95,261.95,6/2/2018,13000 Promise Road,Fishers,IN,46038
30,Lakewood,31,04:22.00,262.0,5/19/2018,9700 W 8Th Ave,Lakewood,CO,80215
31,Deer Valley,32,04:22.10,262.1,4/16/2018,18424 N 51St Ave,Glendale,AZ,85308
32,Fossil Ridge,33,04:22.15,262.15,5/11/2018,5400 Ziegler Rd,Fort Collins,CO,80528
33,Discovery Canyon,34,04:22.20,262.2,5/11/2018,1810 Northgate Blvd,Colorado Springs,CO,80921
34,Mountain Ridge,35,04:22.38,262.38,4/16/2018,22800 N 67th Ave,Glendale,AZ,85310
35,Broomfield,36,04:22.56,262.56,5/19/2018,1 Eagle Way,Broomfield,CO,80020
36,Mountain Vista,37,04:22.72,262.72,4/27/2018,10585 Mountain Vista Ridge,Highlands Ranch,CO,80126
37,Loveland,38,04:22.78,262.78,5/11/2018,920 W 29Th St,Loveland,CO,80538
38,Cheyenne Mountain,39,04:22.80,262.8,4/27/2018,1200 Cresta Rd,Colorado Springs,CO,80906
39,Denver South,40,04:22.93,262.93,5/5/2018,1700 E Louisiana Ave,Denver,CO,80210
40,Shadow Mountain,41,04:23.01,263.01,3/9/2018,2902 E Shea Blvd,Phoenix,AZ,85028
41,Brophy College Prep,42,04:23.14,263.14,4/23/2018,4701 N Central Ave,Phoenix,AZ,85012
42,Highland,43,04:23.29,263.29,4/5/2018,4301 E Guadalupe Rd,Gilbert,AZ,85234
43,Lamar,44,04:23.40,263.4,5/4/2018,1900 S 11Th St,Lamar,CO,81052
44,Mountain View,45,04:23.57,263.57,4/13/2018,2700 E Brown Rd,Mesa,AZ,85213
45,Montrose,46,04:23.57,263.57,4/28/2018,600 South Selig Avenue,Montrose,CO,81401
46,Brophy College Prep,47,04:23.58,263.58,4/13/2018,4701 N Central Ave,Phoenix,AZ,85012
47,Eaglecrest,48,04:23.73,263.73,4/7/2018,5100 S Picadilly St,Centennial,CO,80015
48,Doherty,49,04:23.78,263.78,5/4/2018,4515 Barnes Rd,Colorado Springs,CO,80917
49,Monarch,50,04:24.08,264.08,3/17/2018,329 Campus Dr,Louisville,CO,80027
50,Desert Vista,51,04:24.09,264.09,3/3/2018,16440 S 32Nd St,Phoenix,AZ,85048
51,Desert Vista,52,04:24.39,264.39,4/25/2018,16440 S 32Nd St,Phoenix,AZ,85048
52,Millennium,53,04:24.66,264.66,4/25/2018,14802 W Wigwam Blvd,Goodyear,AZ,85338
53,Douglas County,54,04:24.68,264.68,5/4/2018,2842 Front St,Castle Rock,CO,80104
54,Buckeye,55,04:24.70,264.7,4/25/2018,902 Eason Ave.,Buckeye,AZ,85326
55,Grand Junction Central,56,04:24.89,264.89,5/11/2018,550 Warrior Wy,Grand Junction,CO,81504
56,Niwot,57,04:24.97,264.97,5/11/2018,8989 E Niwot Rd,Niwot,CO,80503
57,Cibola,58,04:25.09,265.09,4/25/2018,4100 W 20Th St,Yuma,AZ,85364
58,Mead,59,04:25.16,265.16,4/7/2018,12750 CR 7,Longmont,CO,80504
59,Silver Creek,60,04:25.32,265.32,4/14/2018,4901 Nelson Rd,Longmont,CO,80503
60,Denver South,61,04:25.34,265.34,4/28/2018,1700 E Louisiana Ave,Denver,CO,80210
61,Hamilton,62,04:25.46,265.46,2/24/2018,3700 S. Arizona Ave,Chandler,AZ,85248
62,Durango,63,04:25.63,265.63,4/7/2018,2390 Main Ave,Durango,CO,81301
63,The Classical Academy,64,04:25.72,265.72,5/19/2018,975 Stout Rd,Colorado Springs,CO,80921
64,Denver West,65,04:25.75,265.75,5/19/2018,951 Elati St,Denver,CO,80204
65,Brophy College Prep,66,04:25.83,265.83,4/23/2018,4701 N Central Ave,Phoenix,AZ,85012
66,Gateway,67,04:25.83,265.83,4/21/2018,1300 S Sable Blvd,Aurora,CO,80012
67,Glenwood Springs,68,04:25.96,265.96,5/11/2018,1521 Grand Ave,Glenwood Springs,CO,81601
68,The Classical Academy,69,04:26.05,266.05,4/7/2018,975 Stout Rd,Colorado Springs,CO,80921
69,Lyons,70,04:26.10,266.1,5/11/2018,100 McConnell Dr,Lyons,CO,80540
70,Centennial,71,04:26.16,266.16,4/5/2018,14388 N 79Th Ave,Peoria,AZ,85381
71,Frontier Academy,72,04:26.25,266.25,4/28/2018,6530 W. 16Th St,Greeley,CO,80634
72,South,73,04:26.28,266.28,3/23/2018,1213 W Allison Rd,Cheyenne,WY,82007
73,Corona del Sol,74,04:26.31,266.31,3/9/2018,1001 E Knox Rd,Tempe,AZ,85284
74,Air Academy,75,04:26.52,266.52,4/27/2018,6910 Carlton Dr,US Air Force Academy,CO,80840
75,Ironwood Ridge,76,04:26.90,266.9,4/6/2018,2475 W Naranja Dr,Tucson,AZ,85742
76,The Classical Academy,77,04:26.94,266.94,5/19/2018,975 Stout Rd,Colorado Springs,CO,80921
77,Northridge,78,04:26.98,266.98,5/10/2018,100 71St Ave,Greeley,CO,80634
78,Jefferson Academy,79,04:27.08,267.08,5/11/2018,11251 Reed Way,Broomfield,CO,80020
79,Durango,80,04:27.19,267.19,5/5/2018,2390 Main Ave,Durango,CO,81301
