,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
0,Agua Fria,66,Buckeye,106,L,8/31,4:00p,Agua Fria High School,530 E Riley Dr.,Avondale,AZ,85323,Buckeye,AZ
1,Amphitheater,11,Desert Christian,65,L,8/31,4:00p,Desert Christian High School,125 W Yavapai Rd,Tucson,AZ,85705,Tucson,AZ
2,Anthem Prep,47,Horizon,92,L,10/19,3:00p,Horizon High School,39808 N Gavilan Peak Pkwy,Anthem,AZ,85086,Scottsdale,AZ
3,Apollo,83,Deer Valley,96,L,10/5,4:00p,Apollo High School,8045 N 47Th Ave,Glendale,AZ,85302,Glendale,AZ
4,Arizona College Prep,125,San Manuel,20,W,9/7,4:00p,San Manuel High School,4477 S. Gilbert Road,Chandler,AZ,85249,San Manuel,AZ
5,Arizona College Prep,134,Seton Catholic,132,W,9/14,6:00p,Seton Catholic High School,4477 S. Gilbert Road,Chandler,AZ,85249,Chandler,AZ
6,Arizona College Prep,71,Phoenix Country Day,93,L,9/19,4:00p,Phoenix Country Day High School,4477 S. Gilbert Road,Chandler,AZ,85249,Paradise Valley,AZ
7,Bradshaw Mountain,74,Flagstaff,93,L,9/5,4:00p,Flagstaff High School,6000 E Long Look Dr Prescott,Valley,AZ,86314,Flagstaff,AZ
8,Buckeye,106,Agua Fria,66,W,8/31,4:00p,Agua Fria High School,902 Eason Ave.,Buckeye,AZ,85326,Avondale,AZ
9,Cibola,59,Gila Ridge,107,L,9/14,4:00p,Cibola High School,4100 W 20Th St,Yuma,AZ,85364,Yuma,AZ
10,Cortez,25,Flagstaff,125,L,9/20,4:00p,Flagstaff High School,8828 N 31St Ave,Phoenix,AZ,85051,Flagstaff,AZ
11,Deer Valley,88,Thunderbird,81,W,8/31,4:00p,Thunderbird High School,18424 N 51St Ave,Glendale,AZ,85308,Phoenix,AZ
12,Deer Valley,96,Apollo,83,W,10/5,4:00p,Apollo High School,18424 N 51St Ave,Glendale,AZ,85308,Glendale,AZ
13,Desert Christian,65,Amphitheater,11,W,8/31,4:00p,Desert Christian High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Tucson,AZ
14,Desert Christian,60,Palo Verde,56,W,9/7,4:00p,Palo Verde High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Tucson,AZ
15,Desert Christian,53,San Manuel,45,W,9/12,4:00p,Desert Christian High School,7525 East Speedway Boulevard,Tucson,AZ,85710,San Manuel,AZ
16,Desert Christian,71,Sahuaro,157,L,9/20,4:00p,Sahuaro High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Tucson,AZ
17,Desert Christian,71,Pueblo,56,W,9/20,4:00p,Pueblo High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Tucson,AZ
18,Desert Christian,23,Walden Grove,65,L,9/28,4:00p,Walden Grove High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Sahuarita,AZ
19,Desert Christian,34,Tanque Verde,58,L,10/19,4:00p,Tanque Verde High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Tucson,AZ
20,Desert Mountain,118,Horizon,52,W,9/7,3:00p,Horizon High School,12575 E Via Linda,Scottsdale,AZ,85259,Scottsdale,AZ
21,Desert Ridge,120,Millennium,63,W,9/21,4:00p,Desert Ridge High School,10045 E Madero Ave,Mesa,AZ,85212,Goodyear,AZ
22,Desert Ridge,173,Horizon,92,W,10/19,4:00p,Horizon High School,10045 E Madero Ave,Mesa,AZ,85212,Scottsdale,AZ
23,Douglas,102,Sunnyside,21,W,9/7,4:00p,Sunnyside High School,1500 15th St,Douglas,AZ,85607,Tucson,AZ
24,Flagstaff,92,North,67,W,8/31,3:00p,Flagstaff High School,400 W Elm,Flagstaff,AZ,86001,Phoenix,AZ
25,Flagstaff,93,Bradshaw Mountain,74,W,9/5,4:00p,Flagstaff High School,400 W Elm,Flagstaff,AZ,86001,Prescott Valley,AZ
26,Flagstaff,90,Prescott,79,W,9/14,4:00p,Prescott High School,400 W Elm,Flagstaff,AZ,86001,Prescott,AZ
27,Flagstaff,125,Cortez,25,W,9/20,4:00p,Flagstaff High School,400 W Elm,Flagstaff,AZ,86001,Phoenix,AZ
28,Flagstaff,101,Shadow Mountain,63,W,10/19,4:00p,Flagstaff High School,400 W Elm,Flagstaff,AZ,86001,Phoenix,AZ
29,Gila Ridge,241,San Luis,27,W,9/7,4:00p,Gila Ridge High School,7150 East 24th Street,Yuma,AZ,85365,San Luis,AZ
30,Gila Ridge,107,Cibola,59,W,9/14,4:00p,Cibola High School,7150 East 24th Street,Yuma,AZ,85365,Yuma,AZ
31,Gila Ridge,222,Yuma,32,W,9/19,4:00p,Yuma High School,7150 East 24th Street,Yuma,AZ,85365,Yuma,AZ
32,Gila Ridge,205,Kofa,94,W,9/21,4:00p,Gila Ridge High School,7150 East 24th Street,Yuma,AZ,85365,Yuma,AZ
