,School,Rank,Time_String,Time_Seconds,Date,Street_Address,City,State,Zip
0,Mountain Vista,1,04:54.22,294.22,5/19/2018,10585 Mountain Vista Ridge,Highlands Ranch,CO,80126
1,Broomfield,2,04:54.52,294.52,5/19/2018,1 Eagle Way,Broomfield,CO,80020
2,Chandler,3,04:56.91,296.90999999999997,3/23/2018,350 N Arizona Ave,Chandler,AZ,85225
3,Fairview,4,04:58.08,298.08,5/19/2018,1515 Greenbriar Blvd,Boulder,CO,80305
4,Boulder,5,04:58.13,298.13,5/19/2018,1604 Arapahoe Ave,Boulder,CO,80302
5,Broomfield,6,05:00.00,300.0,5/19/2018,1 Eagle Way,Broomfield,CO,80020
6,Eagle Valley,7,05:01.14,301.14,4/21/2018,641 Valley Road,Gypsum,CO,81637
7,Mountain Vista,8,05:02.24,302.24,5/19/2018,10585 Mountain Vista Ridge,Highlands Ranch,CO,80126
8,Battle Mountain,9,05:02.31,302.31,5/11/2018,151 Miller Ranch Rd,Edwards,CO,81632
9,Battle Mountain,10,05:02.44,302.44,5/11/2018,151 Miller Ranch Rd,Edwards,CO,81632
10,Valor Christian,11,05:02.68,302.68,5/11/2018,3775 E. Grace Boulevard,Highlands Ranch,CO,80126
11,Legacy,12,05:02.88,302.88,5/19/2018,2701 W 136Th Ave,Broomfield,CO,80023
12,Mountain Vista,13,05:03.22,303.22,5/19/2018,10585 Mountain Vista Ridge,Highlands Ranch,CO,80126
13,Highland,14,05:03.26,303.26,4/5/2018,4301 E Guadalupe Rd,Gilbert,AZ,85234
14,Air Academy,15,05:03.29,303.29,5/11/2018,6910 Carlton Dr,US Air Force Academy,CO,80840
15,Chandler,16,05:03.88,303.88,4/13/2018,350 N Arizona Ave,Chandler,AZ,85225
16,Chaparral,17,05:03.93,303.93,3/23/2018,6935 E. Gold Dust Ave,Scottsdale,AZ,85253
17,Fairview,18,05:04.30,304.3,4/7/2018,1515 Greenbriar Blvd,Boulder,CO,80305
18,Douglas County,19,05:04.84,304.84,5/19/2018,2842 Front St,Castle Rock,CO,80104
19,Boulder,20,05:06.26,306.26,4/28/2018,1604 Arapahoe Ave,Boulder,CO,80302
20,Steamboat Springs,21,05:06.52,306.52,5/19/2018,45 E Maple Street,Steamboat Springs,CO,80487
21,Mead,22,05:06.64,306.64,5/11/2018,12750 CR 7,Longmont,CO,80504
22,Grandview,23,05:06.64,306.64,5/12/2018,20500 E Arapahoe Rd,Aurora,CO,80016
23,Valor Christian,24,05:07.19,307.19,5/11/2018,3775 E. Grace Boulevard,Highlands Ranch,CO,80126
24,Douglas County,25,05:07.48,307.48,5/4/2018,2842 Front St,Castle Rock,CO,80104
25,Peak to Peak,26,05:07.67,307.67,5/19/2018,800 Merlin Dr,Lafayette,CO,80026
26,Discovery Canyon,27,05:07.69,307.69,4/7/2018,1810 Northgate Blvd,Colorado Springs,CO,80921
27,Peak to Peak,28,05:07.72,307.72,5/19/2018,800 Merlin Dr,Lafayette,CO,80026
28,Peak to Peak,29,05:07.79,307.79,3/31/2018,800 Merlin Dr,Lafayette,CO,80026
29,Durango,30,05:08.10,308.1,5/11/2018,2390 Main Ave,Durango,CO,81301
30,Pinnacle,31,05:08.64,308.64,4/14/2018,3535 E Mayo Blvd,Phoenix,AZ,85050
31,Green Mountain,32,05:09.12,309.12,5/5/2018,13175 W Green Mountain Dr,Lakewood,CO,80228
32,Chandler,33,05:09.34,309.34,4/13/2018,350 N Arizona Ave,Chandler,AZ,85225
33,Brighton,34,05:09.34,309.34,4/27/2018,360 S 8Th Ave,Brighton,CO,80601
34,Central,35,05:09.82,309.82,3/17/2018,5500 Education Dr,Cheyenne,WY,82009
35,North Canyon,36,05:10.00,310.0,4/18/2018,1700 E Union Hills Dr,Phoenix,AZ,85024
36,Niwot,37,05:10.11,310.11,5/11/2018,8989 E Niwot Rd,Niwot,CO,80503
37,Niwot,38,05:10.12,310.12,5/5/2018,8989 E Niwot Rd,Niwot,CO,80503
38,Battle Mountain,39,05:10.12,310.12,5/11/2018,151 Miller Ranch Rd,Edwards,CO,81632
39,Regis Jesuit,40,05:10.42,310.42,5/19/2018,6400 S. Lewiston Way,Aurora,CO,80016
40,Chandler,41,05:10.53,310.53,4/6/2018,350 N Arizona Ave,Chandler,AZ,85225
41,Durango,42,05:10.54,310.54,5/11/2018,2390 Main Ave,Durango,CO,81301
42,Telluride,43,05:10.66,310.66,5/19/2018,725 West Colorado,Telluride,CO,81435
43,Thompson Valley,44,05:11.15,311.15,5/5/2018,1669 Eagle Dr,Loveland,CO,80537
44,Palmer Ridge,45,05:11.22,311.22,5/4/2018,19255 Monument Hill Rd,Monument,CO,80132
45,Niwot,46,05:11.39,311.39,5/11/2018,8989 E Niwot Rd,Niwot,CO,80503
46,Dakota Ridge,47,05:11.41,311.41,5/11/2018,13399 W Coal Mine Ave,Littleton,CO,80127
47,Frontier Academy,48,05:11.81,311.81,5/11/2018,6530 W. 16Th St,Greeley,CO,80634
