,School,Rank,Time_String,Time_Seconds,Date,Street_Address,City,State,Zip
0,Mountain Vista,1,10:35.09,635.09,5/19/2018,10585 Mountain Vista Ridge,Highlands Ranch,CO,80126
1,Legacy,2,10:39.30,639.3,5/19/2018,2701 W 136Th Ave,Broomfield,CO,80023
2,Discovery Canyon,3,10:49.45,649.45,3/23/2018,1810 Northgate Blvd,Colorado Springs,CO,80921
3,Chandler,4,10:50.59,650.59,3/17/2018,350 N Arizona Ave,Chandler,AZ,85225
4,Mountain Vista,5,10:55.19,655.19,5/5/2018,10585 Mountain Vista Ridge,Highlands Ranch,CO,80126
5,Chandler,6,10:58.63,658.63,4/6/2018,350 N Arizona Ave,Chandler,AZ,85225
6,Highland,7,10:59.15,659.15,4/5/2018,4301 E Guadalupe Rd,Gilbert,AZ,85234
7,Battle Mountain,8,10:59.76,659.76,4/28/2018,151 Miller Ranch Rd,Edwards,CO,81632
8,Chaparral,9,10:59.85,659.85,3/23/2018,6935 E. Gold Dust Ave,Scottsdale,AZ,85253
9,Boulder,10,11:00.30,660.3,5/19/2018,1604 Arapahoe Ave,Boulder,CO,80302
10,Valor Christian,11,11:00.93,660.93,5/19/2018,3775 E. Grace Boulevard,Highlands Ranch,CO,80126
11,Chandler,12,11:01.26,661.26,4/6/2018,350 N Arizona Ave,Chandler,AZ,85225
12,Eagle Valley,13,11:01.68,661.68,5/19/2018,641 Valley Road,Gypsum,CO,81637
13,Air Academy,14,11:02.30,662.3,5/4/2018,6910 Carlton Dr,US Air Force Academy,CO,80840
14,Pinnacle,15,11:03.46,663.46,4/23/2018,3535 E Mayo Blvd,Phoenix,AZ,85050
15,Broomfield,16,11:04.65,664.65,5/4/2018,1 Eagle Way,Broomfield,CO,80020
16,Palmer Ridge,17,11:05.28,665.28,4/27/2018,19255 Monument Hill Rd,Monument,CO,80132
17,Battle Mountain,18,11:05.35,665.35,4/28/2018,151 Miller Ranch Rd,Edwards,CO,81632
18,Frontier Academy,19,11:05.63,665.63,5/4/2018,6530 W. 16Th St,Greeley,CO,80634
19,Battle Mountain,20,11:05.79,665.79,4/28/2018,151 Miller Ranch Rd,Edwards,CO,81632
20,Douglas County,21,11:05.84,665.84,4/28/2018,2842 Front St,Castle Rock,CO,80104
21,Battle Mountain,22,11:06.82,666.82,5/19/2018,151 Miller Ranch Rd,Edwards,CO,81632
22,Cherokee Trail,23,11:07.57,667.57,4/27/2018,25901 E Arapahoe Pkwy N,Aurora,CO,80016
23,Littleton,24,11:09.24,669.24,4/28/2018,199 E Littleton Blvd,Littleton,CO,80121
24,Peak to Peak,25,11:11.78,671.78,4/21/2018,800 Merlin Dr,Lafayette,CO,80026
25,Wheat Ridge,26,11:12.67,672.67,5/19/2018,9505 W 32Nd Ave,Wheat Ridge,CO,80033
26,Salpointe Catholic,27,11:12.87,672.87,3/23/2018,1545 E Copper St,Tucson,AZ,85719
