,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
0,Agua Fria,116,Buckeye,47,W,8/31,4:00p,Agua Fria High School,530 E Riley Dr.,Avondale,AZ,85323,Buckeye,AZ
1,Agua Fria,198,Desert Edge,91,W,9/14,4:00p,Desert Edge High School,530 E Riley Dr.,Avondale,AZ,85323,Goodyear,AZ
2,Amphitheater,27,Desert Christian,81,L,8/31,4:00p,Desert Christian High School,125 W Yavapai Rd,Tucson,AZ,85705,Tucson,AZ
3,Apollo,34,Deer Valley,135,L,10/5,4:00p,Apollo High School,8045 N 47Th Ave,Glendale,AZ,85302,Glendale,AZ
4,Arizona College Prep,101,San Manuel,68,W,9/7,4:00p,San Manuel High School,4477 S. Gilbert Road,Chandler,AZ,85249,San Manuel,AZ
5,Arizona College Prep,104,Seton Catholic,147,L,9/14,6:00p,Seton Catholic High School,4477 S. Gilbert Road,Chandler,AZ,85249,Chandler,AZ
6,Bradshaw Mountain,55,Flagstaff,115,L,9/5,4:00p,Flagstaff High School,6000 E Long Look Dr Prescott,Valley,AZ,86314,Flagstaff,AZ
7,Buckeye,47,Agua Fria,116,L,8/31,4:00p,Agua Fria High School,902 Eason Ave.,Buckeye,AZ,85326,Avondale,AZ
8,Cibola,76,Gila Ridge,110,L,9/14,4:00p,Cibola High School,4100 W 20Th St,Yuma,AZ,85364,Yuma,AZ
9,Cortez,65,Flagstaff,109,L,9/20,4:00p,Flagstaff High School,8828 N 31St Ave,Phoenix,AZ,85051,Flagstaff,AZ
10,Deer Valley,108,Thunderbird,75,W,8/31,4:00p,Thunderbird High School,18424 N 51St Ave,Glendale,AZ,85308,Phoenix,AZ
11,Deer Valley,135,Apollo,34,W,10/5,4:00p,Apollo High School,18424 N 51St Ave,Glendale,AZ,85308,Glendale,AZ
12,Desert Christian,81,Amphitheater,27,W,8/31,4:00p,Desert Christian High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Tucson,AZ
13,Desert Christian,56,Palo Verde,58,L,9/7,4:00p,Palo Verde High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Tucson,AZ
14,Desert Christian,41,San Manuel,88,L,9/12,4:00p,Desert Christian High School,7525 East Speedway Boulevard,Tucson,AZ,85710,San Manuel,AZ
15,Desert Christian,56,Pueblo,74,L,9/20,4:00p,Pueblo High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Tucson,AZ
16,Desert Christian,56,Sahuaro,144,L,9/20,4:00p,Sahuaro High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Tucson,AZ
17,Desert Christian,11,Walden Grove,75,L,9/28,4:00p,Walden Grove High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Sahuarita,AZ
18,Desert Christian,23,Tanque Verde,68,L,10/19,4:00p,Tanque Verde High School,7525 East Speedway Boulevard,Tucson,AZ,85710,Tucson,AZ
19,Desert Edge,91,Agua Fria,198,L,9/14,4:00p,Desert Edge High School,15778 W Yuma Rd,Goodyear,AZ,85338,Avondale,AZ
20,Desert Edge,136,Prescott,319,L,9/19,4:00p,Prescott High School,15778 W Yuma Rd,Goodyear,AZ,85338,Prescott,AZ
21,Desert Ridge,144,Millennium,41,W,9/21,4:00p,Desert Ridge High School,10045 E Madero Ave,Mesa,AZ,85212,Goodyear,AZ
22,Douglas,98,Sunnyside,42,W,9/7,TBA,Sunnyside High School,1500 15th St,Douglas,AZ,85607,Tucson,AZ
23,Flagstaff,114,North,47,W,8/31,3:00p,Flagstaff High School,400 W Elm,Flagstaff,AZ,86001,Phoenix,AZ
24,Flagstaff,115,Bradshaw Mountain,55,W,9/5,4:00p,Flagstaff High School,400 W Elm,Flagstaff,AZ,86001,Prescott Valley,AZ
25,Flagstaff,109,Prescott,79,W,9/14,4:00p,Prescott High School,400 W Elm,Flagstaff,AZ,86001,Prescott,AZ
26,Flagstaff,109,Cortez,65,W,9/20,4:00p,Flagstaff High School,400 W Elm,Flagstaff,AZ,86001,Phoenix,AZ
27,Flagstaff,93,Shadow Mountain,65,W,10/19,4:00p,Flagstaff High School,400 W Elm,Flagstaff,AZ,86001,Phoenix,AZ
28,Gila Ridge,237,San Luis,21,W,9/7,4:00p,Gila Ridge High School,7150 East 24th Street,Yuma,AZ,85365,San Luis,AZ
29,Gila Ridge,110,Cibola,76,W,9/14,4:00p,Cibola High School,7150 East 24th Street,Yuma,AZ,85365,Yuma,AZ
30,Gila Ridge,197,Yuma,51,W,9/19,4:00p,Gila Ridge High School,7150 East 24th Street,Yuma,AZ,85365,Yuma,AZ
